x,y,zone,comp,age,seqs,phylo,lul_2010,lul_1980,lul_2000,lul_2015,regions,spot_comp,spot_age,spot_seqs
-106.125,27.125,20,NA,3.35310697555542,0.5660156011581421,-0.1345513015985489,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-105.875,27.125,20,NA,3.5026016235351562,1.555939793586731,1.9034096002578735,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-105.625,27.125,20,NA,4.9622344970703125,0.2786294221878052,0.739192545413971,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-105.375,27.125,20,NA,5.323662281036377,-0.5875342488288879,0.4286649823188782,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-105.125,27.125,20,0.725271463394165,4.600816249847412,-1.4124351739883423,1.7215772867202759,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-104.875,27.125,20,0.6188420653343201,4.980100154876709,-2.4249095916748047,-0.27996814250946045,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,Coldspot
-104.625,27.125,20,1.293782353401184,3.972560405731201,-2.479724168777466,-1.420421838760376,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,Coldspot
-104.375,27.125,20,NA,2.811002016067505,-0.3308914005756378,1.162763237953186,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-104.125,27.125,20,0.5878204703330994,2.2230231761932373,-0.07630269229412079,0.2820918560028076,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-103.875,27.125,20,NA,2.7233986854553223,-1.444847583770752,-1.0459415912628174,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-103.625,27.125,20,-1.0452182292938232,1.2686437368392944,0.6084607839584351,1.3696208000183105,Human use,Human use,Human use,Human use,Mexico Northeast,NA,NA,NA
-103.375,27.125,20,-1.391519546508789,2.4908950328826904,0.9979615211486816,1.224110722541809,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
-103.125,27.125,30,-1.7917089462280273,3.244284152984619,1.5414797067642212,2.4546408653259277,Human use,Human use,Human use,Human use,Mexico Northeast,NA,Hotspot,NA
