"Longitude","Latitude","X","Y","Survey"
-106.75,31.75,0.115403356467685,-0.19177884505655,"Fair"
-106.25,31.75,-0.288527337749419,-0.106572691875187,"Fair"
-105.75,31.75,0.563586184321217,-0.203736630722805,"Fair"
-116.75,31.25,0.964002221819283,-0.154054497731928,"Fair"
-116.25,31.25,-0.451147520873163,-0.102253498745597,"Fair"
-115.75,31.25,-0.259143621514023,-0.161298135089452,"Fair"
-115.25,31.25,-0.354718750094312,-0.17255229528237,"Fair"
-114.75,31.25,0.182130190490487,-0.239059756722717,"Fair"
-111.25,31.25,0.163407602611112,-0.213019674976769,"Fair"
-110.75,31.25,0.387171993987725,-0.189109378039166,"Fair"
-110.25,31.25,-0.0875073346193408,-0.184883207861848,"Fair"
-109.75,31.25,0.522268678820729,-0.217129014358729,"Fair"
-109.25,31.25,0.199500146589921,-0.185806724396567,"Fair"
-108.75,31.25,0.707016180502673,-0.176700122132796,"Fair"
-107.75,31.25,0.59511813469905,-0.329925707823585,"Fair"
-107.25,31.25,0.525471089053526,-0.216858767730012,"Fair"
-106.75,31.25,0.598345220915318,-0.212015886719444,"Fair"
-106.25,31.25,0.269833876937997,-0.272289327403178,"Fair"
-105.75,31.25,0.977949883323244,-0.11840712840201,"Fair"
-116.25,30.75,0.142668317803264,-0.280432346483323,"Fair"
-115.75,30.75,-0.429816420233386,-0.118903994289618,"Fair"
-115.25,30.75,-0.463441792317171,-0.103741127225023,"Fair"
-114.75,30.75,0.62923860077192,-0.110016782387288,"Fair"
-112.75,30.75,0.839236754292216,-0.0442815668542773,"Fair"
-112.25,30.75,0.994892254563758,-0.0808081274706332,"Fair"
-111.75,30.75,0.961925666856482,-0.138460481499988,"Fair"
-110.75,30.75,0.328280165844609,-0.228428595400506,"Fair"
-110.25,30.75,0.945408346330698,-0.147426705198564,"Fair"
-109.75,30.75,0.819775027280649,-0.143718255778294,"Fair"
-109.25,30.75,0.78807172341068,-0.198231333266354,"Fair"
-106.25,30.75,0.524618750965916,-0.414073408193866,"Fair"
-105.75,30.75,0.468363422508381,-0.399062137456962,"Fair"
-105.25,30.75,0.97622753502012,-0.133901636903755,"Fair"
-104.75,30.75,0.921364389271163,-0.156439960583044,"Fair"
-116.25,30.25,0.0219381583136934,-0.203506377241695,"Fair"
-115.75,30.25,-0.586047578700859,-0.110679499579805,"Fair"
-115.25,30.25,-0.220115558198999,-0.165713851657921,"Fair"
-114.75,30.25,0.299772967769801,-0.212156553976302,"Fair"
-112.25,30.25,0.803998797860625,-0.0941678046428494,"Fair"
-111.25,30.25,0.753777082441808,-0.20028874568417,"Fair"
